id|text|location|lat|long|year|answer|author
1|Wann und Wo wurde die Golden Gate Bridge eingeweiht?|San Francisco|37.82|-122.48|1937|Die Golden Gate Bridge ist eine Hängebrücke und das Wahrzeichen der Stadt San Franciso. Sie bekam ihren Namen durch die Bucht 'Golden Gate', der zur Zeit des Goldrausches entstand.|
2|Wann und Wo wurde Karl der Große zum Kaiser gekrönt?|Rom|41.9|12.5|800|Der Frankenkönig Karl wurde am Abend des 1. Weihnachtstags 800 im Petersdom von Papst Leo III. als erster Westeuropäer seit der Antike zum Kaiser gekrönt.|
3|Wann und Wo begann der Dreißigjährige Krieg?|Prag|50.08|14.44|1618|Der Dreißigjährige Krieg von 1618 bis 1648 war sowohl ein Konflikt um die Hegemonie in Europa als auch ein Religionskrieg. Er begann mit dem Prager Fenstersturz.|
4|Wann und Wo wurde Coca Cola erfunden?|Atlanta|33.76|-84.39|1886|John Stith Pemberton braute mit Wein, Kolanüssen, Damiana und den Blättern der Cocapflanze einen Sirup, der als Mittel gegen Müdigkeit, Kopfschmerzen und Depressionen gedacht war. Daraus wurde später Coca Cola.|
5|Wann und Wo begann die Französische Revolution?|Paris|48.87|2.37|1789|Die Französische Revolution (1789 bis 1799) gehört zu den folgenreichsten Ereignissen der europäischen Geschichte. Sie löste viele politisches Umstürze in weiten Teilen Europas aus.|
6|Wann und Wo wurde Wilhelm I. zum ersten Deutschen Kaiser gekrönt?|Versailles|48.87|2.37|1871|Wilhelm I. wurde am 18. Januar 1871 im Kronsaal von Versailles zum Deutschen Kaiser gekrönt. Damit wurde das Deutsche Reich gegründet.|
7|Wann und Wo tagte der Bundestag der Bundesrepublik Deutschland zum ersten Mal?|Bonn|50.73|7.1|1949|Von 1949 bis 1999 fanden die Plenarsitzungen des Deutschen Bundestages im Bundeshaus zu Bonn statt.|
8|Wann und Wo rief Philipp Scheidemann die erste deutsche Republik aus?|Berlin|52.55|13.44|1918|Am 9.11.1918 um 14:00 rief der SPD-Politiker aus dem Reichstagsgebäudes die bürgerliche Republik aus. Zwei Stunden später folgte ihm Karl Liebknecht mit der Proklamation einer sozialistischen Republik.|
9|Wann und Wo unterlag Napoleon in der Völkerschlacht?|Leipzig|51.35|12.34|1813|Die Völkerschlacht bei Leipzig vom 16. bis 19. Oktober 1813 war die Entscheidungsschlacht der Befreiungskriege gegen die napoleonische Herrschaft über Europa.|
10|Wann und Wo wurde die erste Atombombe in einem Krieg eingesetzt?|Hiroshima|34.38|132.43|1945|Am 6. August 1945 warf ein US-Bomber die Atombombe 'Little Boy' auf Hiroshima, das dadurch fast komplett ausgelöscht wurde. Der Abwurf drei Tage später auf Nagasaki war der bis heute letzte Einsatz einer Atomwaffe.|
11|Wann und Wo wurde das Automobil erfunden?|Mannheim|49.52|8.48|1886|Carl Benz gilt als Erfinder des Automobils mit dem Benz Patent-Motorwagen Nummer 1. Es war 265 kg schwer, hatte 0,67 PS und erreichte eine Höchstgeschwindigkeit von 16 km/h.|
12|Wann und Wo erhielt Albert Einstein den Nobelpreis für Physik?|Stockholm|59.33|18.07|1922|Albert Einstein erhielt den Nobelpreis von der Schwedischen Akadmie der Wissenschaften für seine Entdeckung des 'Gesetzes des photoelektrischen Effektes'. Er konnte den Preis allerdings nicht persönlich annehmen.|
13|Wann und Wo wurde die chinesische Demokratiebewegung gewaltsam niedergeschlagen?|Peking|39.94|116.4|1989|Die monatelangen Proteste der Demokratiebewegung in China endeten mit dem so genannten Tian’anmen-Massaker, bei dem bis zu 3000 Menschen starben.|
14|Wann und Wo starb Erich Honecker?|Santiago de Chile|-33.44|-70.69|1994|Der ehemalige Generalsekretär des Zentralkomitees der DDR, Erich Honecker, starb 1994 in Santiago de Chile.|
15|Wann und Wo begannen die Friedensgebte in der Deutschen Demokratischen Republik?|Leipzig|51.35|12.34|1982|Ab November 1982 fanden jeden Montag Friedensgebete in der Leipziger Nikolaikirche statt. Die Monatsgebete waren mit Auslöser der 'Friedlichen Revolution'.|
16|Wann und Wo startete die erste Rakete, die einen Satelliten in die Erdumlaufbahn brachte?|Baikonur|45.61|63.31|1957|Die Sowjetunion gewann die erste Runde im Wettlauf um die Erforschung des Weltraums durch die erfolgreiche Platzierung von 'Sputnik' in der Erdumlaufbahn. Sie startete im heutigen Kasachstan.|
17|Wann und Wo wurde der Eiffelturm eingeweiht?|Paris|48.87|2.37|1889|Nach nur 18 Monaten Bauzeit wurde der Eiffelturm pünktlich zur Weltausstellung 1889 eingeweiht. Er ist 324 Meter hoch und wiegt 10.000 Tonnen.|
18|Wann und Wo war der Mauerfall?|Berlin|52.55|13.44|1989|Am Abend des 9. November 1989 wurde es den Bürgern der DDR ermöglicht, 'über Grenzübergangspunkte der DDR auszureisen'. Damit fiel die Berliner Mauer, die Deutschland 28 Jahre lang trennte.|
19|Wann und Wo begann der Zweite Weltkrieg?|Danzig|54.4|18.65|1939|Die ersten Schüsse des Zweiten Weltkriegs trafen die polnische Garnision auf der Westerplatte. Das Linienschiff Schleswig Holstein begann so den Krieg in Europa.|
20|Wann und Wo hielt Martin Luther King die Rede 'I have a dream'?|Washington D.C.|38.9|-77.03|1963|Martin Luther Kings berühmteste Rede hielt er beim Marsch auf Washington im Jahre 1963. Ein Jahr später erhielt er unter anderem dafür den Friedensnobelpreis.|
21|Wann und Wo sprang ein Elefant aus einer Schwebebahn?|Wuppertal|51.27|7.2|1950|Die Elefantenkuh 'Tuffi' sprang 1950 aus einer fahrenden Schwebebahn in die Wupper in Wuppertal. Sie überstand den Sprung in 10 Meter Tiefe mit ein paar Schrammen am Hinterteil.|
22|Wann und Wo wurde das Wasserklosett erfunden?|Kelston|51.4|-2.44|1596|Im Jahr 1596 erfand der englische Dichter Sir John Harington das Wasserklosett, seine Erfindung geriet aber wieder in Vergessenheit.|
25|Wann und Wo wurde die erste Ausgabe eines Comic-Heftes mit 'Superman' veröffentlicht?|New York|40.76|-73.98|1938|1938 veröffentlichte der Verlag DC-Comics das erste Action Comic Heft in dem Superman auftretet.|
28|Wann und Wo wurde Griechenland Fußball-Europameister?|Lissabon|38.72|-9.13|2004|Der deutsche Trainer Otto Rehhagel hat die größte Sensation der EM-Geschichte vollbracht: Durch ein Tor von Angelos Charisteas besiegten die Griechen im EM-Endspiel 1:0 den favorisierten Gastgeber Portugal. |
29|Wann und Wo wurde Albert Einstein die Vizepräsidentschaft angeboten?|Jerusalem|31.78|35.21|1952|Albert Einstein: 'I am deeply moved by the offer from our State of Israel, and at once saddened and ashamed that I cannot accept it.'|
30|Wann und Wo fand der wohl bekannteste 'UFO-Absturz' aller Zeiten statt?|Roswell|33.4|-104.53|1947|Im Juli 1947 in Roswell, New Mexico fand angeblich der so genannte Roswell-Zwischenfall statt. Verschwörungstheoretiker vermuten den Absturz von Außerirdischen.|
31|Wann und Wo missglückte ein Attentat mit einer Handgranate auf George W. Bush?|Tiflis|41.73|44.79|2005|Die Granate landete 30 Meter von Bush entfernt auf dem Freiheitsplatz in Tiflis, während dieser dort gerade eine Rede hielt. Aufgrund einer Fehlfunktion explodierte sie nicht.|
33|Wann und Wo wurde das erste Schaf geklont?|Edinburgh|55.96|-3.19|1996|Bei der 'Herstellung' von Dolly im Roslin-Institut nahe Edinburgh wurden 277 Eizellen mit Zellkernen aus den Euterzellen des Spendertiers geimpft.|
34|Wann und Wo wurden die ersten Teile eines Tyrannosaurus Rex gefunden?|Golden|39.74|-105.2|1874|Bereits 31 Jahre vor der eigentlichen Entdeckung fand der Wissenschaftler A. Lakes Teile des Urzeitriesen.|
35|Wann und Wo startete 'Laika' als erster Hund einen Flug ins All?|Baikonur|45.85|63.31|1957|Die Hündin Laika war das erste Lebewesen, das vom Menschen ins Weltall befördert wurde.|
36|Wann und Wo erfand Fred Cohen den ersten Computervirus?|Los Angeles|34.02|-118.41|1983|Fred Cohen hatte eine gefährliche Entdeckung getan, als er 1983 das erste Programm schrieb, was sich selbst kopieren konnte. Er wollte zeigen, dass Computer von Viren befallen werden können.|
38|Wann und Wo fiel das Wembley-Tor?|London|51.55|-0.27|1966|1966 schoss Geoff Hurst das 3:2 im WM-Finale England gegen Deutschland. Ob der Ball wirklich im Tor war, ist bis heute umstritten. England gewann am Ende mit 4:2 und wurde erstmals Fußball-Weltmeister.|
40|Wann und Wo begann die Geschichte um Harry Potter?|Little Whinging|51.27|-0.39|1981|In Little Whinging wurden James und Lily Potter ermordet – einen Tag später begann die berühmteste Romanreihe des jungen 21. Jahrhunderts.|
42|Wann und Wo wurde das Betriebssystem Linux erfunden?|Helsinki|60.17|24.94|1991|Der Finne Linus Torvalds begann mit der Entwicklung des ersten freien Betriebssystems Linux. 2013 nutzten ca. 1,62 % aller Heimanwender Linux, darunter (fast) alle Entwickler von 'Was War Wann Wo'?|
43|Wann und Wo erschien 'Das Manifest der Kommunistischen Partei'?|London|51.55|-0.27|1848|Das Kommunistische Manifest von Karl Marx und Friedrich Engels wurde in mehr als 100 Sprachen übersetzt und gehört zum UNESCO-Dokumentenerbe.|
44|Wann und Wo wurde der höchste Berg der Welt das erste Mal bestiegen?|Mount Everest, Khumjung|27.81|86.71|1953|Dem neuseeländische Bergsteiger Edmund Hillary gelang es zusammen mit dem Sherper Tenzing Norgay den Gipfel des Mount Everest (8848 Meter) zu besteigen.|
45|Wann und Wo wurde Google gegründet?|Menlo Park|37.42|-122.16|1998|Die beiden Doktoranden der Stanford University, Larry Page und Sergey Brin, begannen 1997, ursprünglich als Dissertationsthema gedacht, mit der Entwicklung der Suchmaschine Google.|
46|Wann und Wo sank die Titanic?|Im Atlantik vor Neufundland|41.73|-49.95|1912|Der Untergang des damals größten Passagierschiffs der Welt auf der Jungfernfahrt von Southhampton nach New York City gilt als eine der größten Tragödien der Geschichte: 1514 Menschen starben, 710 wurden gerettet.|
47|Wann und Wo brach der Vulkan Eyjafjallajökull aus und legte den Flugverkehr in ganz Europa lahm?|Rangárþing eystra|63.64|-19.57|2010|Auf Grund des Austritts der Vulkanasche im April 2010 wurde der Flugverkehr Nord- und Mitteleuropas eingestellt - eine beispiellose Beeinträchtigung aufgrund eines Naturereignisses.|
48|Wann und Wo wurde die Hauptstadt Brasiliens gegründet?|Brasilia|-15.79|-47.88|1960|Die Planung für Brasilia begann 1891 mit dem Wunsch nach einer neutralen Hauptstadt für Brasilien. 1960 löste Brasilia die Metropole Rio de Janeiro als Hauptstadt des größten Flächenstaats Südamerikas ab.|
49|Wann und Wo wurde das erste Finale einer Fußball-Weltmeisterschaft ausgetragen?|Montevideo|-34.84|-56.17|1930|Die erste Fußball-WM fand 1930 in Uruguay statt. Das Gastgeberland gewann das Finale am 30. Juli 1930 in der Hauptstadt Montevideo gegen Argentinien 4:2 und wurde damit erster Fußball-Weltmeister.|
50|Wann und Wo begann mit der ersten spanischen Siedlung die Kolonisierung Südamerikas?|Cumaná|10.45|-64.16|1520|Nach der Aufteilung Südamerikas durch den Vertrag von Tordesillas 1494 begann die spanische Kolonisation des Kontinents 1520 mit Siedlungen im heutigen Venezuela, Kolumbien und Argentinien.|
51|Wann und Wo begann der Bau des berühmten Mausoleums Taj Mahal?|Agra|27.17|78.04|1631|Der Taj Mahal ist eines der berühmtesten Mausoleen der Welt. Er wurde 1631 vom Großmogul Shah Jahan zum Gedenken an seine verstorbene große Liebe Mumtaz Mahal in Auftrag gegeben.|
52|Wann und Wo begann mit dem Attentat auf Franz Ferdinand der Erste Weltkrieg?|Sarajevo|43.85|18.41|1914|Beim Attentat von Sarajevo wurden der Thronfolger Österreich-Ungarns, Franz Ferdinand, und seine Gemahlin von einem serbischen Nationalisten ermordet. Das löste die Julikrise aus, die zum Ersten Weltkrieg führte.|
53|Wann und Wo war die 'Hölle von Verdun'?|Verdun|49.16|5.39|1916|Die Schlacht um Verdun war der Höhepunkt des Stellungskriegs im Ersten Weltkrieg und kostete Deutschland und Frankreich je ca. 150.000 Soldaten und endete ohne wesentliche Verschiebung des Frontverlaufs.|
54|Wann und Wo war die Februarrevolution, bei der der russische Zar gestürzt wurde?|Sankt Petersburg|59.94|30.33|1917|Sie begann nach westlicher Zeitrechnung am 8. März und beendete die russische Zarenherrschaft. Im Herbst des selben Jahres übernahm die Bolschewiki unter Lenin durch die Oktoberrevolution die Macht in Russland.|
55|Wann und Wo brachte die Oktoberrevolution Lenin an die Macht?|Sankt Petersburg|59.94|30.33|1917|Sie begann nach gregorianischer Zeitrechnung im November 1917 und errichtete unter der Führung Lenins und seiner Bolschewiki einen sozialistischen Staat der 'Diktatur des Proletariats' in Russland.|
56|Wann und Wo wurde der Versailler Vertrag unterschrieben?|Versailles|48.8|2.12|1919|Der Siegfrieden beendete den Ersten Weltkrieg. Deutschland wurde die Alleinschuld am Ausbruch des Ersten Weltkriegs gegeben, musste hohe Reparationszahlungen leisten und 13% seiner Gebiete abtreten.|
57|Wann und Wo wurde Angela Merkel geboren?|Hamburg|53.59|9.96|1954|Angela Merkel wurde als Angela Dorothea Kasner 1954 in Hamburg geboren.|
58|Wann und Wo wurde Albert Einstein geboren?|Ulm|48.4|10.03|1879|'Die Stadt der Geburt hängt dem Leben als etwas ebenso Einzigartiges an wie die Herkunft von der leiblichen Mutter' (Albert Einstein 1929)|
59|Wann und Wo wurde Che Guevara geboren?|Rosario|-32.94|-60.68|1928|Ernesto Rafael Guevara de la Serna war von 1956 bis 1959 Anführer (Comandante) der marxistischen Rebellenarmee der Kubanischen Revolution und ist neben Fidel Castro deren wichtigste Symbolfigur. |
60|Wann und Wo wurde Elvis Presley geboren?|Tupelo|34.27|-88.71|1935|Der 'King of Rock ’n’ Roll' hatte schottische, irische und französische Vorfahren und einen Zwillingsbruder. Eine Urgroßmutter war Cherokee.|
61|Wann und Wo wurde Lukas Podolski geboren?|Gliwice|50.3|18.64|1985|Die Nummer 10 der Deutschen Nationalmannschaft ist Sohn des ehemaligen Fußballprofis Waldemar Podolski und der Handballspielerin Krystyna Podolska.|
62|Wann und Wo fanden die letzten Olympischen Spiele der Antike statt?|Olympia|37.66|21.62|393|Die letzten Olympischen Spiele der Antike wurden 393 im antiken Olympia in Griechenland ausgetragen. Anschließend wurden sie vom römischen Kaiser Theodosius verboten.|
63|Wann und Wo fanden die ersten Olympischen Spiele der Neuzeit statt?|Athen|37.98|23.72|1896|Es wurden 43 Olympiasieger gekürt. Kurios: Das Veranstaltungsprogramm wurde nur auf Griechisch verfasst und sorgte für organisatorische Probleme.|
64|Wann und Wo fanden die ersten Olympischen Winterspiele statt?|Chamonix|45.93|6.87|1924|Die 'Internationale Wintersportwoche' wurde erst im Nachhinein als die ersten Olympische Winterspiele bezeichnet. In den französischen Alpen 16 Olympiasieger gekürt.|
65|Wann und Wo gewann ABBA den Grand Prix?|Brighton|50.82|-0.14|1974|Die schwedische Band ABBA begeisterte 1974 die Zuschauer des Grand Prix mit 'Waterloo'. Damit begann die nur achtjährige Bilderbuch-Karriere einer der berühmtesten Bands der Musikgeschichte.|
66|Wann und Wo gewann 'Ein bisschen Frieden' den Grand Prix für Deutschland?|Harrogate|53.99|-1.54|1982|Nicole gewann den ersten Grand Prix für Deutschland. Ralph Siegel komponierte das Lied, das bis heute den Rekord für den höchsten Punktedurchschnitt in der Geschichte hält.|
67|Wann und Wo fand die erste Sendung von 'Wetten, dass' statt?|Düsseldorf|51.23|6.77|1981|'Guten Abend, meine Damen und Herren, ich war lange nicht mehr im Fernsehen.' Mit diesem Satz eröffnete Frank Elstner die später erfolgreichsten Fernsehshow Europas.|
68|Wann und Wo traten die Rolling Stones das erste Mal auf?|London|51.55|-0.27|1962|Die Rolling Stones straten als Ersatzband im Londoner Marquee Club am 12. Juli 1962 das erste Mal auf.|
69|Wann und Wo wurde Marie Curie geboren?|Warschau|52.24|21.01|1867|Durch ihre Forschungen mit Uranverbindungen prägte sie das Wort 'radioaktiv'. Sie entdeckte außerdem die chemischen Elemente Polonium und Radium.|
70|Wann und Wo wurde Madonna geboren?|Bay City|43.59|-83.89|1958|Madonna Louise Ciccone, wie die 'Queen of Pop' eigentlich heißt, ist die Sängerin mit den meist verkauften Musikalben der Welt.|
71|Wann und Wo wurde Deutschland erstmals Fußball-Weltmeister?|Bern|46.95|7.43|1954|'Aus! Aus! Das Spiel ist aus! Deutschland ist Weltmeister!'. Obwohl Favorit Ungarn nach 8 Minuten mit 2:0 führte, konnte Deutschland das Spiel 3:2 gewinnen. Helmut Rahm schoss das Siegtor beim 'Wunder von Bern'.|
73|Wann und Wo starb Prinzessin Diana?|Paris|48.87|2.37|1997|Diana Frances Spencer starb 1997 bei einem Autounfall in Paris. Zu diesem Zeitpunkt war sie offiziell seit 5 Jahren von Prinz Charles getrennt.|
74|Wann und Wo wurde William Shakespeare geboren?|Stratford-upon-Avon|52.19|-1.71|1564|William Shakespeare (1564-1616) gilt bis heute als einer der einflussreichsten Literaten aller Zeiten und Begründer der modernen englischen Sprache.|
75|Wann und Wo starb Wolfgang Amadeus Mozart?|Wien|48.21|16.41|1791|Mit 35 erst Jahren starb der österreichische Komponist unter bis heute nicht eindeutig geklärten Umständen.|
76|Wann und Wo wurde John F. Kennedy erschossen?|Dallas|32.8|-96.8|1963|Um das Attentat um den beliebten US-Präsidenten irischer Herkunft ranken sich viele Verschwörungstheorien. Er wurde auf einer Wahlkampfreise an der Dealey Plaza im offenen Cabrio erschossen.|
77|Wann und Wo fand der berühmte Kniefall von Willi Brandt statt?|Warschau|52.24|21.01|1970|Der Kniefall von Warschau am am Mahnmal des Aufstandes im Warschauer Ghetto von 1943 leitete symbolisch die Entspannungspolitik zwischen Ost und West ein.|
78|Wann und Wo wurde 'Ötzi' gefunden?|Ötztaler Alpen|46.75|10.92|1991|Der Mann aus dem Eis ist über 5000 Jahre alt.|
79|Wann und Wo wurde Galileo Galilei geboren?|Pisa|43.72|10.4|1564|'Und sie bewegt sich doch!' ('Eppur si muove!') - Galileo Galilei, italienischer Philosoph, Mathematiker, Physiker und Astronom.|
81|Wann und Wo starb Elisabeth von Österreich-Ungarn (Sissi)?|Genf|46.2|6.14|1898|Als Elisabeth auf dem Weg zu einem Dampfer am Genfer See war, versetzte der Anarchist Luigi Lucheni ihr mit einer Feile eine Stichwunde in den Herzbeutel.|
84|Wann und Wo begann der Bau des derzeit höchsten Gebäude der Welt?|Dubai|25.19|55.27|2004|Das Burj Khalifa wurde 2010 eingeweiht und ist seitdem das höchste Gebäude der Welt (828 Meter).|
85|Wann und Wo verunglückte das Luftschiff 'Hindenburg'?|Lakehurst|40.01|-74.3|1937|Am 6. Mai 1937 wurde es bei der Landung zerstört, als sich die Wasserstofffüllung entzündete. 36 Menschen, darunter ein Mitglied der Bodenmannschaft, kamen ums Leben.|
86|Wann und Wo startete der erste bemannte Flug zum Mond?|Merritt Island|28.57|-80.64|1969|'That’s one small step for man… one… giant leap for mankind.' - Neil Armstrong, erster Mann auf dem Mond.|
87|Wann und Wo wurde Napoleon geboren?|Ajaccio|41.92|8.73|1769|'Die Deutschen haben sechs Monate Winter und sechs Monate keinen Sommer. Und das nennen sie Vaterland.' - Napoleon I. Bonaparte, französischer General, Diktator, Kaiser und Herrscher über Europa.|
88|Wann und Wo fand die Schlacht von Omaha Beach (D-Day) statt?|Normandie|49.37|-0.89|1944|Die Landung der Allierten in Nordfrankreich stellte den Wendepunkt des Zweiten Weltkrieg an der Deutschen Westfront dar.|
89|Wann und Wo fand das (erste) Woodstock Fesival statt?|Bethel|41.71|-74.84|1969|Das Woodstock Music and Art Festival war ein Musikfestival, das als musikalischer Höhepunkt der US-amerikanischen Hippiebewegung gilt.|
90|Wann und Wo wurde das erste Märchenbuch der Gebrüder Grimm veröffentlicht?|Kassel|51.3|9.47|1812|Die Gebrüder Grimm gelten als Gründungsväter der Germanistik. Durch die Sammlung und Veröffentlichung alter Märchen sind sie noch heute weltbekannt.|
91|Wann und Wo wurde Dschingis Khan zum Herrscher der Mongolen ernannt?|Die Quelle des Onon|48.76|48.76|1206|Dschingis Khan vereinte die mongolischen Stämme und eroberte weite Teile Zentralasiens und Nordchinas.|
92|Wann und Wo wurde der Marionettenstaat Mandschuko gegründet?|Changchun|43.86|125.3|1932|Nach dem von Japan inszenierten Mukden-Zwischenfall kam es zur Mandschurei-Krise. Unter japanischer Einwirkung erklärten lokale Notablen am 18. Februar 1932 die staatliche Unabhängigkeit.|
93|Wann und Wo wurde der letzte chinesische Kaiser abgesetzt?|Peking|39.94|116.4|1912|Als Folge der Xinhai-Revolution musste der erst sechsjährige Kaiser Aisin Gioro Puyi abdanken. In der Folge wurde die Chinesische Republik gegründet.|
94|Wann und Wo wurde Greenpeace gegründet?|Vancouver|49.28|-123.12|1971|Die Umweltschutz-Organisation Greenpeace ist heutzutage eine der größten Nichtregierungsorganisationen.|
98|Wann und Wo begann der Bau von Machu Pichu?|Machu Picchu|-13.16|-72.54|1450|Die Stadt umfasste 216 steinerne Bauten und wurde auf 2360 Metern Höhe auf einem Bergrücken von den Inkas errichtet.|
99|Wann und Wo wurde Nostradamus geboren?|Saint-Rémy-de-Provence|43.78|4.83|1503|Michel de Nostredame war ein französischer Apotheker, arbeitete als Arzt und Astrologe und ging unter anderem durch seine Prophezeiungen in die Geschichte ein.|
100|Wann und Wo wurde Störtebeker enthauptet?|Hamburg|53.59|9.96|1401|Klaus Störtebeker war ein berüchtigter Seeräuber dessen Existenz umstritten ist. Der Legende nach soll Störtebeker nach seiner Enthauptung noch an elf seiner Männer vorbei geschritten sein, die dadurch überlebten.|
101|Wann und Wo spaltete sich die Anglikanische Kirche von der Römisch-Katholischen ab?|London|51.55|-0.27|1534|Am 3. November 1534 setzte Heinrich VIII. im Parlament die Suprematsakte Act of Supremacy durch, wodurch der König als 'höchstes Oberhaupt der Kirche von England auf Erden' anerkannt und England damit endgültig von der katholischen Kirche losgesagt wurde.|
103|Wann und Wo verkündete Luther seine 95 Thesen?|Witteberg|51.89|12.59|1517|Ob Luther tatsächlich 95 Thesen an di Schlosskirche in Wittenberg angeschlagen hat ist heutzutage umstritten. Nichtsdestotrotz begann durch dieses Ereignis die Reformation in Deutschland.|
104|Wann und Wo wurde Micky Maus 'geboren'?|Los Angeles, Kalifornien|34.02|-118.27|1928|Walt Disney erschuf in dem Kurzfilm 'Steamboat Willie' die Zeichentrickfigur Micky Maus.|
105|Wann und Wo wurde das Penicilline entdeckt?|London|51.55|-0.27|1928|Durch einen Zufall entdeckte Alexander Flemming, dass auf einem Nährboden ein Schimmelpilz wuchs und sich in der Nachbarschaft des Pilzes die Bakterien nicht vermehrt hatten.|
106|Wann und Wo erhielt Marie Curie den Nobelpreis für Chemie?|Stockholm|59.33|18.07|1911|Bereits 1903 war Marie Curie mit dem Nobelpreis für Physik ausgezeichnet worden. Damit ist sie die erste Person der Geschichte, der zwei Nobelpreise verliehen wurden.|
107|Wann und Wo missglückte das so genannte 'Stauffenberg-Attentat'?|Wolfsschanze, Kętrzyn|54.08|21.49|1944|Der Attentats-Versuch von Claus Schenk Graf von Stauffenberg bei einer Besprechung im Führerhauptquartier 'Wolfsschanze' verletzte den Diktator Adolf Hitler leicht. Er und seine Helfer wurden gefasst und hingerichtet.|
108|Wann und Wo wurde das Prohibitionsgesetz erlassen?|Washington D.C.|38.91|-77.03|1919|Das Prohibtionsgesetz war ein landesweites Verbot der Herstellung, des Verkaufs und des Transports von Alkohol in den USA. 1933 wurde das Verbot aufgehoben. Prost!|
109|Wann und Wo explodierte die Ölplattform 'Deepwater Horizon' und führte so zu einer Ölpest?|Golf von Mexico|27.98|-90.02|2010|Bei einer Explosion auf der Bohrinsel 'Deepwater Horizion' traten in knapp drei Monaten ca. 800 Millionen Liter Rohöhl ins offene Meer aus. Dies entspricht einem Würfel mit einer Seitenlänge von über 900 Metern.|
