id|text|location|lat|long|year|answer|author
111|Wann und Wo wurde das erste Foto der Geschichte geschossen?|Chalon-sur-Saône|46.78|4.85|1826|Joseph Nicéphore Niépce nahm die vermutlich erste lichtbeständige Fotografie der Welt auf: ein Blick aus dem Fenster seines Arbeitszimmers mit einer Belichtungszeit von acht Stunden im Format 16,5 × 21 cm.|
112|Wann und Wo fand der Bruderkuss von Honecker und Breschnew statt?|Berlin|52.55|13.44|1979|Auf der Feier zum 30-jährigen Bestehen der DDR begrüßten sich Brechnew und Honecker mit dem Sozialistischen Bruderkuss. Dieses Motiv zählt zu den bekanntesten der East Side Gallery in Berlin.|
133|Wann und Wo entstand der Jazz?|New Orleans|29.9509|-90.0894|1905|New Orleans Jazz wird häufig als der erste wirkliche Jazz-Stil gesehen. Ein bekannter späterer Vertreter des New Orleans Jazz war Louis Armstrong.|HistoEurope
138|Wann und Wo starb Steve Jobs?|Palo Alto|37.4416|-122.142|2011|Steve Jobs gilt als einer der bekanntesten Visionäre des 21. Jahrhunderts. Er gründete neben Apple auch das Animationsstudio Pixar und führte beide Unternehmen zu milliardenschwerem Erfolg.|CKH
140|Wann und Wo wurde die Sixtinische Kapelle fertiggestellt?|Vatikanstadt|41.9065|12.4543|1483|Der Name geht auf den Papst Sixtus IV. zurück.|HistoEurope
144|Wann und Wo wurde das 'New Bauhaus' gegründet?|Chicago|41.8545|-87.8077|1937|Der ehemalige Bauhaus-Professor László Moholy-Nagy gründete das New Bauhaus (heute IIT Institute of Design).|la
148|Wann und Wo wurden die Mainzelmännchen ins Leben gerufen?|Mainz|49.9912|8.25214|1963|Sie waren erst noch schwarz-weiß - erst 1967 gab es sie in Farbe.|CKH
149|Wann und Wo fand die Jasminrevolution statt?|Tunis|36.8041|10.1752|2010|Die sogenannte Jasminrevolution, die zum Sturz der Regierung Zine el-Abidine Ben Alis führte, begann 2010. Als Auslöser wird die Selbstverbrennung des Gemüsehändlers Mohamed Bouazizi in Sidi Bouzid gesehen.|maghreb
153|Wann und Wo wurde der Kaffeefilter erfunden?|Dresden|51.06|13.7355|1908|Melitta Bentz entwickelte experimentell den ersten Kaffeefilter. Unter anderem verwendete sie Löschpapier aus den Schulheften ihrer Söhne.|DieBesten
155|Wann und Wo wurde das Empire State Building eröffnet?|New York|40.7486|-73.9856|1931|Das Empire State Building war mit 381 Metern Höhe 40 Jahre lang das höchste Gebäude der Welt und ist aus der Skyline von New York City nicht mehr wegzudenken.|CKH
156|Wann und Wo eröffnete die erste IKEA-Filiale?|Älmhult|56.5501|14.1341|1958|Ingvar Kamprad gründete mit 17 Jahren das Unternehmen in Schweden. 1951 erschien der erste IKEA-Katalog.|la
157|Wann und Wo wurde das Völkerschlachtdenkmal errichtet?|Leipzig|51.3368|12.3099|1913|Das Denkmal wurde anlässlich des hundertjährigen Jubiläums der Völkerschlacht bei Leipzig errichtet. Es war die Entscheidungsschlacht, die die Niederlage Napoleons in Europa einleitete.|anonym
159|Wann und Wo wurde das Bauhaus gegründet?|Weimar|50.9824|11.3301|1919|Das historische Bauhaus gründete Walter Gropius als Kunstschule im Gebäude der heutigen Bauhaus-Universität in Weimar. Die Schule prägte die Architektur, Kunst und das Design der Moderne.|CKH
160|Wann und Wo wurde Michelangelo geboren?|Caprese|43.6414|11.9873|1475|Michelangelo Buonarroti der bedeutendsten Künstler der italienischen Hochrenaissance. Sein 'David' ist noch heute weltbekannt.|anonym
161|Wann und Wo wurde die derzeit teuerste Weinflasche der Welt abgefüllt?|Pauillac|44.8549|-0.570358|1787|1985 wurde für eine Flasche Château Lafite aus dem Jahr 1787,bei einer Auktion 160.000 US-Dollar geboten.|DieBesten
163|Wann und Wo eröffnete der erste Nationalpark?|Yellowstone |44.4279|-110.589|1872|Der Yellowstone Nationalpark befindet sich auf einem der größten Vulkankomplexe der Welt.|anonym
164|Wann und Wo wurde Isabel Perón Präsidentin?|Buenos Aires|-34.548|-58.3894|1974|Nach dem Tod ihres Mannes übernahm Isabel Perón die Präsidentschaft Argentiniens.|la
166|Wann und Wo starb Martin Luther?|Eisleben|51.5168|11.5625|1546|Martin Luthers Wirken führte, wenn auch ungewollt, zur Spaltung der Kirche.|la
167|Wann und Wo wurden die Audi-Werke gegründet?|Zwickau|50.7195|12.4735|1909|August Horch war Gründer und Namensgeber von Audi. Ein Gymnasiast schlug ihm Audi als Namen für seine Automobilfirma vor. Audi ist der lateinische Imperativ von 'hören'.|DieBesten
168|Wann und Wo begann der Sechstagekrieg?|Golanhöhen|33.053|35.7299|1967|Der Sechstagekrieg zwischen Israel und den arabischen Staaten Ägypten, Jordanien und Syrien wurde unter anderem durch die ägyptische Blockade der Meerenge von Tiran ausgelöst und führte zu einem Sieg Israels.|maghreb
169|Wann und Wo wurde Tower Bridge eröffnet?|London|51.5145|-0.171636|1894|Aufgrund anwachsender Verkehrsprobleme wurde die Tower Bridge gebaut. Die Herausforderung dabei war es, den Schiffsverkehr auf der Themse nicht einzuschränken. Deswegen entschied man sich für eine Klappbrücke.|anonym
171|Wann und Wo entdeckte Heinrich Schliemann eine antike Stadt, die durch Homers Ilias bekannt ist?|Hisarlik (Troja)|39.9575|26.2386|1873|Schliemann gilt als 'Endecker' Trojas. Er wurde vor seiner Entdeckung von vielen Archäologen belächelt, da er seine Informationen aus Homers Ilias nahm.|la
173|Wann und Wo übernahm Saddam Hussein die Macht als Staatspräsident?|Baghdad|33.3275|44.3909|1979|Mit 42 Jahren wurde Saddam Hussein Generalsekretär der Baʿth-Partei und kurz darauf Staatspräsident.|maghreb
174|Wann und Wo starb Elvis Presley?|Memphis, Tennessee|35.1292|-89.9696|1977|Der 'King of Rock 'n' Roll' starb schon mit 42 Jahren. Sein Tod löste Trauer in der ganzen Welt aus. |DieBesten
200|Wann und Wo wurde HistoGlobe gegründet?|Weimar|50.9841|11.3219|2014|Marcus Kossatz, Christian Dominka, Felix Lauer und Simon Schneegans gründeten die GbR, die unter anderem das Spiel 'Was War Wann Wo?” entwickelt.|HistoGlobe
203|Wann und Wo fand die Schlacht von Trafalgar statt?|Cap von Trafalgar|36.1811|-6.03373|1805|Die Schlacht von Trafalgar am 21. Oktober 1805 war eine Seeschlacht am Kap Trafalgar zwischen den Briten und den miteinander verbündeten Franzosen und Spaniern im Rahmen des Dritten Koalitionskriegs Napoleons.|DieBesten
204|Wann und Wo wurde die erste deutschsprachige Universität gegründet?|Prag|50.0871|14.4235|1348|Die Karls-Universität in Prag ist die größte und renommierteste Universität der Tschechischen Republik und wurde am 7. April 1348 vom römisch-deutschen und böhmischen König Karl IV. gegründet.|DieBesten
205|Wann und Wo wurde Nelson Mandala zum Präsidenten seines Landes vereidigt?|Pretoria|-25.7319|28.1888|1994|Als Staatschef und Präsident des ANC leitete Nelson Mandela die Umgestaltung von Staat und Gesellschaft weg von der Apartheid ein. Er gewann internationalen Respekt und ist Volksheld Südafrikas.|DieBesten
206|Wann und Wo erfand Johannes Gutenberg den Buchdruck?|Mainz|49.9948|8.24802|1440|Johannes Gutenberg (1400-1468) gilt als Erfinder des modernen Buchdrucks mit beweglichen Metalllettern (Mobilletterndruck) und der Druckerpresse.|HistoEurope
208|Wann und über welchen Pass überquerte Hannibal vermutlich die Alpen?|Col de Montgenevre|44.9332|6.72559|-218|Während des Zweiten Punischen Krieges (218–201 v. Chr.) führte Hannibal 37 Kriegselefanten über die Alpen und fügte er dem Römischen Reich mehrere schwere Niederlagen zu.|DieBesten
210|Wann und Wo wurde der erste Meteorit in Europa gefunden?|Loket|50.1865|12.7544|1400|In Böhmen in der heutigen Tschechischen Republik fiel der erste Meteorit in Europa, von dem noch Material vorhanden ist. Die genauen Umstände des Falls sind aber nicht bekannt.|CKH
212|Wann und Wo wurde (symbolisch) der sieben-milliardste Mensch geboren?|Manilla|14.6035|120.985|2011|Danica Camacho ist eines von ein paar Neugeborenen, die von der UN symbolisch zum 7 Milliardsten Menschen gekürt wurden.|DieBesten
213|Wann und Wo wurde der Zweite Weltkrieg endgültig beendet?|Sagami-Bucht|35.1923|139.381|1945|Am 2. September 1945 unterzeichnete Japan auf dem US-Schlachtschiff Missouri in der Sagami-Bucht die Kapitulation. Damit war Pazifikkrieg und auch der Zweite Weltkrieg beendet.|DieBesten
215|Wann und Wo wurde Mahatma Gandhi ermordet?|New Delhi|28.6322|77.1924|1948|Nach einem Attentat hinterließ der friedliche Widerstandskämpfer eine Holzschüssel, einen Löffel, seine Brille, ein Paar Schuhe und das, was er am Leibe trug.|la
216|Wann und Wo wurde die Marke Nivea gegründet?|Beiersdorf|51.0749|14.54|1911|Das Unternehmen 'Nivea' war zu Beginn auf die Herstellung medizinischer Pflaster spezialisiert, gilt heute aber als eine der bekanntesten Hautpflegemarken.|HistoEurope
217|Wann und Wo wurde der Befreiungskämpfer Simón Bolívar geboren?|Caracas|10.5001|-66.9254|1783|Der in Venezuela geborene Bolívar beendete in weiten Teilen Südamerikas die spanische Besetzung. Das Land Bolivien ist heute nach seinem Befreier benannt.|la
218|Wann und Wo wurde Ludwig XIV. geboren?|Saint Germain-en-laye|48.896|2.08753|1638|Der 'Sonnenkönig' Ludwig XIV. ist einer der berühmtesten Könige Frankreichs und gilt als Symbol des Absolutismus. Er regierte im Schloss Versailles.|anonym
219|Wann und Wo kam das 'Trojanische Pferd' zum Einsatz?|Troja|39.9575|26.2428|-1135|Laut griechischer Mythologie eroberten die Soldaten Odysseus die Stadt Troja, indem sie sich in einem hölzernen Pferd versteckten, das als Geschenk für die Trojaner getarnt war.|CKH
220|Wann und Wo wurde Fidel Castro Premierminister? |Havanna|23.0538|-82.3461|1959|Im Zuge der kubanischen Revolution wurde Fidel Castro 1959 Premierminister Kubas. Dieses Amt hatte der Jurist bis 2011 inne.|la
221|Wann und Wo starb Otto von Bismark?|Friedrichsruh|53.5294|10.3372|1898|Der erste Reichskanzlers des Deutschen Reiches starb an Altersbrand und anderen Gebrechen, die er gegenüber der Öffentlichkeit und sogar gegenüber seiner Familie verschwieg.|DieBesten
222|Wann und Wo wurde das Schloss Neuschwanstein fertig gestellt?|Hohenschwangau|47.5556|10.7359|1886|Das Schloss wurde für den bayerischen König Ludwig II. gebaut. Heute ist das Schloss eine der berühmtesten und meistbesuchten Sehenswürdigkeiten Deutschlands.|anonym
223|Wann und Wo wurde König Ludwig der XVI. hingerichtet?|Paris|48.8389|2.34328|1793|Ludwig XVI. war der letzte König des französischen Absolutismus. Er wurde im Zuge der Französischen Revolution am 16.10.1793 guillotiniert.|anonym
226|Wann und Wo wurde der berühmte Philosoph Sokrates geboren?|Alopeke|37.9847|23.7294|-469|Der griechische Philosoph Sokrates wurde in Alopeke, einem antiken Stadtteil Athens, geboren. Er gilt als bedeutendster Philosoph der Geschichte und war Lehrer Platons.|anonym
227|Wann und Wo wurde die 'Dreigroschenoper' von Bertholt Brecht uraufgeführt?|Berlin|52.512|13.458|1928|Die Uraufführung fand am 31. August 1928 im Theater am Schiffbauerdamm in Berlin statt. Das 'Stück mit Musik in einem Vorspiel und acht Bildern' wurde die erfolgreichste deutsche Theateraufführung bis 1933.|DieBesten
228|Wann und Wo wurde die erste Tageszeitung der Neuzeit herausgegeben?|Leipzig|51.341|12.3678|1650|Die 'Einkommendeen Zeitungen' wurde von Buchhändler Timotheus Ritzsch herausgegeben. Die Auflage betrug etwa 200 Exemplare. Metall-Lettern wurden sie auf einer hölzernen Druckerpresse von Hand gedruckt.|anonym
230|Wann und Wo wurde die erste Bibel in Volkssprache gedruckt?|Mainz|49.988|8.25043|1466|Die Bibel wurde 1466, zehn Jahre nach Veröffentlichung der lateinischen Bibel durch Gutenberg, erstmals in deutscher Sprache von Johannes Mentelin übersetzt und gedruckt.|anonym
231|Wann und Wo wurde die französische Nationalhymne 'Marseilles' komponiert?|Straßburg|48.5934|7.748|1792|Die heutige französische Nationalhymne wurde 1792 während des Kriegs Frankreichs gegen Österreich in Straßburg von Claude Joseph Rouget de Lisle in einer Nacht komponiert.|DieBesten
232|Wann und Wo wurde Johann Sebastian Bach geboren?|Eisenach|50.9865|10.3119|1685|Der Komponist, Orgel- und Klaviervirtuose Johann Sebastian Bach war einer der berühmtesten und bedeutensten Musiker der Geschichte. Er wirkte fast ausschließlich in Mitteldeutschland.|anonym
233|Wann und Wo wurde Wolfgang Amadeus Mozart geboren?|Salzburg|47.8068|13.0527|1756|Der berühmte österreichische Komponist der Wiener Klassik wurde in Salzburg geboren und wirkte dort lange Jahre seines Lebens.|anonym
234|Wann und Wo wurde der Prophet Mohammed geboren?|Mekka|21.4204|39.8191|570|Der Prophet Mohammed, geboren um 573 in Mekka, ist der Religionsstifter des Islam. |maghreb
236|Wann und Wo wurde Gründer des Unternehmens Carl Zeiss geboren?|Weimar|50.9796|11.3241|1816|Der Mechaniker und Unternehmer Carl Zeiss wurde in Weimar geboren und prägte das weltweit agierende Optikunternehmen 'Carl Zeiss' im 20 km entfernten Jena.|la
237|Wann und Wo wurden zum ersten Mal Knochenfragmente der Neandertaler gefunden?|Neandertal|51.2227|6.96403|1856|Italienische Arbeiter fanden per Zufall 16 Knochenfragmente in einem Steinbruch, dass es sich dabei um die Überreste eines Menschen handelte wurde erst später bemerkt.|anonym
239|Wann und Wo begann die Geschichte des Telefons?|Frankfurt am Main|50.1153|8.6839|1861|'Das Pferd frisst keinen Gurkensalat' - Inhalt des ersten Telefonats vom Erfinder Johann Philipp Reis.|CKH
241|Wann und Wo wurde das erste Patent für einen Toaster beantragt?|Detroit|42.3332|-83.0437|1906|Dieser Toaster wurde jedoch nie in größerer Stückzahl produziert.|CKH
244|Wann und Wo wurde Barack Obama zum ersten Mal Abgeordneter?|Springfield, Illinois|39.7827|-89.6479|1996|12 Jahre bevor er Präsident wurde, bekam er sein erstes Abgeordnetenmandat im US-Bundesstaat Illinois.|la
245|Wann und Wo starb Kleopatra?|Alexandria|31.2005|29.9218|-30|Kleopatra hatte mit Ceasar einen Sohn - Caesarion. |maghreb
247|Wann und Wo fand die erste Filmvorführung in einem Kino statt?|New York|40.7129|-74.0027|1895|Vorhang auf! Noch in Schwarz/Weiß und ohne Ton, doch der Siegeszug des bewegten Bildes war von nun an nicht mehr zu stoppen. Popcorn war noch nicht populär, störende Nebengeräusche gab es so wohl kaum.|CKH
248|Wann und Wo fand das erste offizielle Radrennen statt?|Paris|48.857|2.35171|1868|Nur wenige Jahre nach der Erfindung des Fahrrads fand das erste offizielle Straßenradrennen statt. Die Distanz war 1200 Meter.|DieBesten
250|Wann und Wo wurde Giuseppe Verdi geboren?|Le Roncole|44.9516|10.0748|1813|Die Opern Aida, Don Carlos und La Traviata stammen aus der Feder Verdis. Er war einer der bedeutendsten Komponisten des 19. Jahrhunderts. |anonym
251|Wann und Wo erreichten Lewis und Clark den Pazifischen Ozean?|Columbia River Mouth, Oregon|46.253|-124.015|1805|Lewis und Clark gelang als erste Europäer die Überquerung des Nordamerikanischen Kontinents.|DieBesten
252|Wann und Wo traten die Beatles zum ersten Mal in Deutschland auf?|Hamburg|53.5632|9.99322|1960|Noch heute sieht man in Hamburg viele Spuren der Beatles.|naleyvthe
253|Wann und Wo entstand das Oktoberfest?|München|48.1326|11.5815|1810|Ursprünglich war das heutige Volksfest ein Pferderennen.|DieBesten
254|Wann und Wo wurde die Siedlung Nieuw Amsterdam gegrundet?|New York City|40.715|-74.0041|1624|Aus Schutz vor Überfällen der Eingeborenen wurde von der Niederländische Westindien-Kompanie ein Wall errichtet. Heute befindet sich dort die wohl wichtigste Börse der Welt. |DieBesten
255|Wann und Wo wurde die UNO gegründet?|San Francisco|37.7753|-122.419|1945|Die United Nations Organization, also die Vereinten Nationen gelten als Nachfolgeorganisation des Völkerbundes. Ihr Sitz ist heutzutage in New York City.|CKH
256|Wann und Wo wurde das World Wide Web (www) erfunden?|Meyrin|46.2339|6.08006|1989|1989 erfand Tim-Barners Lee das Web am CERN. Reich wurde er mit dieser Erfindung jedoch nicht.|la
258|Wann und Wo wurden die Gummibärchen erfunden?|Bonn|50.736|7.09649|1922|Der Bonner Unternehmer Hans Riegel erfand die Gummibärchen. Sein Unternehmen Haribo brachte den 1922 späteren 'Goldbären' das erste Mal auf den Markt und ist bis heute Marktführer.|HistoEurope
260|Wann und Wo wurde der Maler und Architekt Raffael geboren?|Urbino|43.7251|12.636|1443|Der italienische Maler und Architekt der Hochrenaissance wurde vor allem durch seine harmonischen Kompositionen und lieblichen Madonnenbilder berühmt und war Bauleiter des Petersdoms in Rom.|anonym
261|Wann und Wo wurden die ersten Manga veröffentlicht?|Tokyo|35.6951|139.766|1814|Die ersten Manga (etwa zwangloses/ungezügeltes Bild) genannten Werke wurden von Katsushika Hukusai als Reihe von Skizzen in 15 Bänden in Tokyo veröffentlicht.|CKH
264|Wann und Wo wurde der Johann Wolfgang von Goethe geboren?|Frankfurt|50.11|8.65922|1749|Der berühmteste deutsche Dichter Johann Wolfgang von Goethe wirkte die meiste Zeit seines Lebens in Weimar und starb dort. Er war Minister in Weimar, fand den Zwischenkieferknochen und erfand einen Farbkreis.|anonym
265|Wann und Wo wurde die Büste der Nofretete entdeckt?|Tell el-Amarna|27.6263|30.8777|612|Die Büste wurde um 1350 v.Chr. gefertigt und von der Deutschen Orient-Gesellschaft entdeckt. Heute steht sie im Ägyptischen Museum in Berlin und ist zwischen 300 und 400 Mio. Euro wert.|la
266|Wann und Wo wurde Friedrich Schiller geboren?|Marbach am Neckar|48.9329|9.2711|1759|Friedrich Schiller gilt als einer der bedeutendsten deutschen Dichter, Dramatiker und Lyriker. Er gehört zum Viergestirn der Weimarer Klassik, dem Ort, an dem er zahlreiche Werke schrieb und 1805 starb.|anonym
267|Wann und Wo beschäftigte sich Charles Darwin mit den berühmten Riesenschildkröten?|Galapagos-Inseln|-0.636632|-90.3195|1935|1935 besuchte Darwin die Galapagos-Inseln, seine Entdeckungen dort waren unter anderem die Grundlage für die Evolutionstheorie.|la
268|Wann und Wo wurde die erste künstliche Wasserstraße zwischen Atlantik und Pazifik fertiggestellt?|Panama|9.05867|-79.6624|1914|Der 'Panamakanal' wurde 1914 fertiggestellt. Der Bau kostete 375 Milliarden Dollar und forderte viele Todesopfer.|la
270|Wann und Wo wurde der längste Flughafen-Terminal der Welt in Betrieb genommen?|Peking|39.9594|116.316|2008|Das Terminal 3 des Flughafens in Peking ist 3250 Meter lang und wurde für die Olympischen Spiele 2008 in der chinesischen Hauptstadt gebaut.|anonym
274|Wann und Wo wurde das Weiße Haus angezündet?|Washington, DC|38.8976|-77.0362|1814|Das Weiße Haus, der Sitz des Präsidenten der USA, wurde im August 1814 von Britisch-Kanadischen Truppen im Britisch-Amerikanischen Krieg niedergebrannt und 1819 wiederaufgebaut.|DieBesten
275|Wann und Wo wurde Albrecht Dürer geboren?|Nürnberg|49.4412|11.0503|1471|Albrecht Dürer der Jüngere war ein europaweit bekannter Maler, Grafiker, Kunsttheoretiker und Mathematiker in der Zeit des Humanismus und der Reformation.|anonym
276|Wann und Wo wurden die Nazca-Linien (Geoglyphen) entdeckt?|Nazca|-14.7387|-75.1301|1924|Die Linien in der Wüste Perus wurden auf einem kommerziellen Passagierflug entdeckt und bis heute sind Bedeutung und Entstehungszeit unsicher.|la
277|Wann und Wo war das berühmte 'Rooftop Concert' der Beatles?|London|51.5106|-0.139909|1969|Das 'Rooftop Concert' war der letzte Live-Auftritt der Beatles 1969 in London. Da es weder Promotion noch Tickets gab, bestand das Publikum im Wesentlichen aus Personen, die sich zufällig in der Nähe aufhielten.|maghreb
278|Wann und Wo wurde der höchste Kirchturm der Welt fertig gestellt?|Ulm|48.3988|9.95068|1890|Der Bau des Ulmer Münsters (161,53 Meter hoch) begann 1377, wurde aber erst 1890 fertiggestellt. Kurz vor Ende wurde der Hauptturm um 10 Meter erhöht. Damit ist das Münster 4 Meter höher als der Kölner Dom.|anonym
279|Wann und Wo wurde Deutschland zum 4. Mal Fußball-Weltmeister?|Rio de Janeiro|-22.9121|-43.2301|2014|Durch ein Tor von Mario Götze in der 113. Spielminute gewann Deutschland die Fußball-WM 2014 in Brasilien. JAAAAAAAAAAAA !!!|
280|Wann und Wo wurde die Zahl Pi (3,14159...) zum 1. Mal berechnet?|Syrakus|37.075|15.286|-250|Archimedes von Syrakus ist es gelungen, geniale Überlegungen und Rechnungen die Kreiszahl Pi ausreichend genau zu bestimmen. Er geht von ein- und umbeschriebenen Streckenzügen aus, die die Kreislinie immer mehr annähern.|
281|Wann und Wo wurde Australien durch den ersten Europäer entdeckt?|Cape York|-10.687|142.531|1606|Der holländische Seefahrer Willem Jansz entdeckte den Nordzipfel Australiens und betrat nachweislich als erster Europäer den neuen Kontinenten.|
282|Wann und Wo wurden die ersten Fossilien von Dinosauriern gefunden?|Whiteman's Green|51.014|-0.1439|1820|Dem Arzt und Hobbygeologen Gideon Mantell wird zugeschrieben, als erster Mensch Fossilien als von Dinosaueiern stammend erkannt zu haben.|
283|Wann und Wo wurde der Suezkanal eröffnet?|Suez|29.9668343|32.5498|1869|Einer der wichtigsten Schifffahrtswege der Erde verbindet das Mittelländische Meer mit dem Roten Meer und trennt Afrika von Asien. Es verkürzt den Seeweg von London nach Mumbai (Indien) um mehr als 40%.|
284|Wann und Wo ist 'Faust I' erschienen?|Weimar|50.979|11.323|1808|'Faust. Der Tragödie erster Teil' von Johann Wolfgang von Goethe gilt als das meistzitierte Werk der deutschen Literatur. Es handelt von Johann G. Faust (1480-1541), der aufgrund seines Wissensdurstes sein Leben nicht genießen kann.|
285|Wann und Wo tauchte zum ersten Mal ein U-Boot auf unter 10.000 Kilometer NN?|Marianengraben|11.373|142.591|1951|1951 wurde von der Besatzung des englischen Vermessungsschiffes 'Challenger II' eine Tiefe von 10.899 m mit Echolotung festgestellt - Dieser Stelle im Marianengraben gab man den Namen Challengertief.|
286|Wann und Wo wurde Pompeji verschüttet?|Pompeji|40.75|14.4861|79|Pompeji war eine bedeutende antike Hafenstadt, die durch den Ausbruch des Vesuv in einer Nacht komplett verschüttet wurde. Erst im 18. Jahrhhundert wurde die Stadt durch Archäologem ausgegraben.|
288|Wann und Wo wurde der Enigma-Code geknackt?|Bletchley Park|51.997|-0.74|1941|Die Wehrmacht nutzte zur Verschlüsselung ihrer Nachrichten im Zweiten Weltkrieg mit dem System Enigma. 1941 gelang es Großbritannien mit Hilfe des Mathematikers Alan Turing, die Verschlüsselung zu brechen. Dies blieb bis 1973 Staatsgeheimnis.|
289|Wann und Wo wurde das Brandenburger Tor eingeweiht?|Berlin|52.516|13.381|1791|Das Brandenburger Tor ist ein Wahrzeichen Berlins, Europas, des Kalten Krieges und der deutschen Wiedervereinigung. Es steht direkt an der Grenze zwischen Ost- und Westberlin, Ost- und Westdeutschland, der NATO und des Warschauer Paktes.|
290|Wann und Wo geschah der Supergau von Tschernobyl?|Tschernobyl|51.272|30.224|1986|Im Kernkraftwerk von Tschernobyl in der heutigen Ukraine wurde ein vollständiger Stromausfall simuliert, der zu einer Explosion eines Kernreaktors und damit zu einer der größten Katastrophen der jüngsten Geschichte führte.|
291|Wann und Wo wurde die Cheops-Pyramide eröffnet?|Gizeh|29.979|31.134|-2540|Die Cheopspyramide ist die größte und älteste Pyramide von Gizeh und eines der Sieben Weltwunder der Antike. Alle vier Seiten der Pyramide sind mit einer Abweichung von weniger als 0.001 % gleich lang.|
292|Wann und Wo wurde Jesus von Nazareth geboren?|Nazareth|32.699|35.303|-7|Das Geburtsjahr von Jesus Christus von Nazareth ist nicht genau bekannt, am wahrscheinlichsten wird der Zeitraum zwischen 7-4 vor Christus angenommen. Er wurde im Jahr 30 bzw. 31. nach Christus gekreuzigt.|
293|Wann und Wo war die Meuterei auf der Bounty?|Südpazifik|-20|-175.5|1789|1787 brach die Bounty zu einer Reise in die Südsee auf, um Stecklinge in die britischen Antillen zu bringen. Auf dem Rückweg meuterte die Truppe, nahm ihren Kapitän fest und ein Teil flüchtete mit Beibooten auf Inseln im Südpazifik.|
